研报名称,机构名称,发布时间,行业,研报地址
医药生物行业周报：行业营收规模整体平稳增长，基金持仓明显回升,中航证券,2023-05-08,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586351880
创新药2022及2023Q1总结：商业加速，看好向上,浙商证券,2023-05-08,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348705
医药生物周跟踪：从年报表现，看投资主线,浙商证券,2023-05-04,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268121
2023年4月第四周创新药周报（附小专题-PD-1/VEGF双抗概况）,西南证券,2023-05-04,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267954
AI+药筛专题报告：“快”AI与“慢”药筛,浙商证券,2023-05-04,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267945
医药行业周报：医药持仓占比稳定，行情仍可期,西南证券,2023-05-04,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267282
22A&23Q1医药板块触底、整固，期待进一步复苏与繁荣,安信证券,2023-05-04,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586244079
血制品行业深度跟踪：年初至今批签发稳健增长，期待疫后常规需求持续回暖,安信证券,2023-05-04,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586218049
医疗AI专题二：专业性与实用性兼备，ChatGPT类聊天AI在医疗端的使用报告,华安证券,2023-04-27,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304271585987927
2023年中国抗帕金森药物行业词条报告,头豹研究院,2023-04-26,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585893056
医药生物行业双周报2023年第8期总第82期：2023年AACR大会召开，持续关注后续创新药投资机会,长城国瑞证券,2023-04-26,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585875615
2023年中国降脂药行业词条报告,头豹研究院,2023-04-25,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585820445
医药生物行业周报：角膜塑形镜集采落地，关注OK镜产业链投资机会,爱建证券,2023-04-25,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585788651
医药生物投融资双周报：生工生物获融，MSD扩自免,浙商证券,2023-04-24,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585733582
医药生物行业周报：中医药行业支持政策频出，行业景气度持续提升,平安证券,2023-04-24,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585733568
医药生物周报（23年第16周）：NMPA发布2022年药品监督管理统计数据，干细胞移植疗法Omisirge获批上市,国信证券,2023-04-24,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585731703
医药生物行业跟踪周报：医院端全面恢复，重点推荐处方药龙头恒瑞医药、恩华药业等,东吴证券,2023-04-23,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585728298
医药生物行业周报：由重症新冠拓展至多个适应症的补体赛道新星：舒泰神,太平洋,2023-04-23,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585727253
聚乙二醇应用分析系列报告：从伊立替康看小分子PEG修饰,浙商证券,2023-04-23,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585721429
医药生物行业周报：关注医疗服务板块布局机会,上海证券,2023-04-23,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585719419
【粤开医药点评】关注2023AACR年会国内创新药投资机会,粤开证券,2023-04-21,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304211585671800
AACR2023本土药企临床进展：“秒懂”全球创新药系列研究之会议追踪,东吴证券,2023-04-19,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304191585563209
医药生物周报（23年第14周）：肿瘤创新药国际学术会议陆续召开，角膜塑形镜集采公布采购文件,国信证券,2023-04-18,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585532161
医药生物行业周报：2023AACR召开，创新药关注度提升,东海证券,2023-04-17,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585504976
医药生物投融资双周报：Catalent 产能遇阻，海森药业上市,浙商证券,2023-04-17,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585492791
医药生物行业2023年4月投资策略：关注创新药、中药和器械板块,国信证券,2023-04-17,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585492739
医疗行业专题：高血压介入治疗时代即将开始，百亿市场扬帆起航,德邦证券,2023-04-17,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585489899
医药生物行业周报：Biotech相关公司领涨，关注商业化的创新公司，并适当加仓年度中药和医疗AI主题标的,华安证券,2023-04-17,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585489060
医药生物行业周报：医药板块流动性持续恢复，后市创新药行情有望延续,中邮证券,2023-04-17,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585488850
医药生物行业04月周报：关注AACR会议中的创新药投资机会,国联证券,2023-04-16,化学制药,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585486223
