研报名称,机构名称,发布时间,行业,研报地址
家电行业动态报告：数据中心温控趋势报告,民生证券,2023-05-08,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358886
家电行业周报：国内家电市场复苏缓慢，关注业绩优秀企业,东莞证券,2023-05-08,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352501
家用电器23W18周观点：五一线下客流明显恢复，助力家电线下销售回暖,德邦证券,2023-05-08,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348497
22A&23Q1可选消费年季报总结：曙光已现，静待需求修复,德邦证券,2023-05-08,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348495
家用电器行业报告：23Q1改善趋势显现，行业景气反转在即,中邮证券,2023-05-07,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586346697
信达家电·热点追踪：家电消费活力加速释放，板块配置价值凸显,信达证券,2023-05-07,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586345828
家用电器行业四月行业动态报告：Q1营收同比转增，盈利能力改善,中国银河,2023-05-05,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586291127
家电行业周报：三大白电4月空冰洗排产数据较好,民生证券,2023-05-04,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268038
家电行业周报（2023W17）：一季报分化，期待筑底修复,华西证券,2023-05-04,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586232367
信达家电· 热点追踪：五一期间家电消费火爆，关注年报季后家电投资机会,信达证券,2023-05-03,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586220262
家用电器行业点评报告：基金重仓比例提升，白电提升幅度较大,中国银河,2023-04-28,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586077322
家电行业周报（2023W16）：盾安Q1业绩亮眼，关注添可、极米新品发布,华西证券,2023-04-24,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585769598
家电行业周报（23年第16周）：3月地产及家电出口表现积极，建议关注家电内外销回暖趋势,国信证券,2023-04-24,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585746410
家电行业周报：扫地机线上销售降幅收窄，地产延续复苏态势,民生证券,2023-04-24,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585733313
家用电器23W16周观点：社零及地产竣工超预期，关注家电需求修复,德邦证券,2023-04-24,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729527
信达家电·热点追踪：重视家电板块配置机会，添可发布春季新品,信达证券,2023-04-23,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585727799
家电行业周报：季度外销亮眼，内销复苏还需时间,东莞证券,2023-04-23,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585726148
家用电器行业行业事项点评：家电季报复苏超预期，建议关注家电板块配置机会,信达证券,2023-04-21,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304211585685181
家用电器行业：一季度空调内销超预期增长,中国银河,2023-04-21,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304211585666834
家用电器23W16周度研究：家电出口RCEP及一带一路部分国家情况,天风证券,2023-04-21,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304211585662028
2022年中国热泵行业概览：欧洲能源危机带动热泵需求高景气（摘要版）,头豹研究院,2023-04-20,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304201585636479
家电行业动态报告：储能温控产业趋势六问六答,民生证券,2023-04-20,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304201585603593
投影仪行业点评：极米子品牌发布千元投影新品O3，正式进军1LCD市场,浙商证券,2023-04-19,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304191585568087
家用电器：“新方向与冷思考”2023W16-从新品看LCD投影现况,中泰证券,2023-04-19,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304191585561903
家用电器行业报告：当贝发布新品X5，美西航线指数大幅回升,中邮证券,2023-04-18,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585541684
家电行业跟踪报告：行业3月数据跟踪：内销提速，出口转好,中原证券,2023-04-18,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585541682
2023年3月清洁电器月报：扫地机短期承压，洗地机延续增长态势,民生证券,2023-04-18,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585528935
家电行业周报（23年第15周）：3月家电零售仍在复苏，空调增长良好、厨电出现回暖,国信证券,2023-04-17,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585504506
电动两轮车：天花板已至？,安信证券,2023-04-17,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585495648
家用电器行业月度点评：白电产销回暖，景气度提升,财信证券,2023-04-17,家电行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585494010
